rep000_seed0000	CFF000428	CFF003956	CFF001018	CFF000659	CFF000637	CFF006553	CFF000083	CFF035066	CFF001189	CFF001406	CFF000670	CFF000672	CFF001027	CFF001499	CFF000209	CFF001554	CFF000256	CFF000558	CFF009478	CFF000237	CFF000474	CFF000079	CFF000737	CFF115363	CFF000022	CFF001975	CFF000810	CFF000424	CFF000605	CFF057668	CFF006988	CFF001201	CFF000503	CFF001323	CFF000427	CFF000062	CFF001929	CFF010002	CFF000500	CFF000063	CFF000072	CFF001243	CFF000228	CFF000330	CFF001254	CFF000331	CFF000437	CFF000610	CFF001141	CFF000322	CFF000319	CFF000379	CFF001257	CFF002337	CFF000451	CFF000899	CFF000575	CFF002295	CFF000044	CFF000452	CFF000274	CFF002891	CFF000013	CFF000622	CFF000752	CFF003996	CFF000523	CFF000621	CFF029952	CFF016868	CFF005943	CFF000624	CFF000178
rep015_seed2040	FAM000539	FAM001327	FAM009059	FAM006717	FAM011473	FAM003489	FAM002316	FAM007820	FAM011972	FAM005386	FAM000508	FAM001892	FAM000138	FAM001649	FAM002169	FAM006938	FAM013874	FAM000389	FAM000559	FAM002298	FAM000499	FAM011825	FAM000255	FAM006089	FAM013242	FAM001481	FAM003845	FAM001903	FAM012502	FAM000665	FAM001652	FAM005105	FAM011133	FAM004191	FAM000859	FAM009074	FAM000135	FAM002251	FAM003966	FAM000584	FAM000224	FAM009269	FAM008149	FAM008281	FAM002963	FAM003608	FAM003754	FAM004405	FAM013890	FAM003432	FAM007273	FAM000363	FAM001291	FAM013215	FAM002768	FAM004820	FAM012750	FAM004557	FAM000690	FAM013966	FAM002133	FAM005348	FAM011111	FAM013375	FAM010281	FAM011134	FAM008127	FAM004598	FAM137222	FAM072752	FAM042044	FAM032810	FAM027190
rep016_seed2041	FAM001755	FAM010008	FAM001936	FAM013649	FAM010023	FAM003268	FAM001077	FAM001999	FAM000486	FAM007925	FAM005223	FAM008434	FAM006793	FAM006804	FAM004821	FAM004166	FAM014015	FAM004782	FAM005213	FAM001552	FAM001470	FAM003010	FAM011944	FAM003303	FAM002970	FAM004112	FAM000793	FAM005431	FAM006554	FAM008560	FAM006959	FAM001654	FAM003695	FAM000553	FAM001900	FAM012739	FAM013853	FAM000301	FAM002336	FAM001368	FAM001071	FAM001067	FAM013621	FAM002684	FAM005198	FAM001655	FAM005400	FAM001502	FAM010045	FAM003249	FAM001861	FAM000411	FAM012107	FAM001249	FAM000389	FAM004802	FAM000186	FAM004853	FAM001350	FAM009083	FAM003301	FAM001726	FAM009584	FAM012541	FAM011719	FAM013728	FAM011357	FAM008428	FAM126800	FAM058220	FAM037202	FAM034814	FAM026773
rep017_seed2042	FAM006283	FAM008405	FAM007681	FAM002146	FAM002952	FAM005962	FAM007506	FAM003342	FAM010367	FAM008201	FAM011689	FAM007314	FAM005622	FAM012879	FAM004019	FAM002349	FAM000965	FAM003317	FAM007660	FAM014427	FAM003093	FAM010077	FAM005762	FAM005552	FAM004964	FAM002941	FAM004558	FAM002078	FAM001087	FAM010089	FAM000436	FAM003606	FAM000214	FAM001385	FAM000735	FAM004908	FAM006021	FAM006778	FAM003069	FAM001766	FAM000669	FAM004694	FAM002851	FAM010297	FAM008165	FAM006024	FAM003943	FAM009876	FAM003501	FAM003946	FAM012508	FAM000756	FAM000634	FAM000270	FAM002678	FAM007698	FAM002220	FAM000290	FAM003567	FAM004911	FAM001355	FAM001686	FAM007767	FAM008389	FAM013015	FAM011579	FAM011422	FAM013328	FAM110451	FAM068030	FAM038680	FAM031497	FAM020771
rep018_seed2043	FAM007062	FAM004548	FAM000932	FAM000169	FAM002135	FAM004493	FAM001937	FAM000540	FAM013655	FAM001900	FAM006447	FAM011373	FAM006434	FAM012659	FAM004479	FAM005673	FAM002480	FAM007935	FAM000310	FAM013054	FAM010086	FAM000586	FAM007660	FAM001931	FAM004984	FAM002799	FAM002419	FAM010569	FAM002647	FAM003330	FAM000057	FAM003753	FAM002395	FAM002749	FAM000255	FAM004113	FAM009071	FAM008464	FAM002047	FAM000663	FAM001418	FAM010544	FAM010394	FAM013630	FAM004754	FAM003946	FAM001169	FAM003659	FAM003360	FAM002045	FAM012697	FAM002402	FAM002961	FAM000738	FAM004719	FAM011601	FAM001736	FAM006399	FAM005047	FAM010425	FAM000706	FAM002373	FAM007285	FAM006219	FAM003728	FAM008453	FAM011706	FAM007326	FAM130428	FAM069536	FAM032978	FAM028734	FAM023229
rep019_seed2044	FAM003806	FAM012075	FAM004156	FAM001748	FAM002874	FAM002405	FAM012840	FAM000828	FAM012323	FAM000656	FAM002533	FAM000054	FAM006240	FAM003361	FAM001355	FAM007780	FAM001120	FAM001103	FAM008034	FAM010698	FAM003584	FAM002906	FAM001514	FAM008451	FAM005221	FAM000095	FAM008747	FAM000492	FAM000663	FAM002067	FAM011937	FAM000806	FAM000170	FAM010285	FAM011685	FAM002058	FAM011884	FAM000498	FAM000702	FAM014605	FAM000076	FAM000905	FAM000755	FAM007442	FAM000299	FAM006411	FAM009003	FAM004906	FAM004472	FAM005354	FAM002013	FAM005232	FAM002801	FAM004919	FAM003642	FAM005669	FAM010950	FAM004017	FAM002044	FAM000245	FAM002726	FAM002782	FAM002228	FAM013249	FAM011674	FAM009506	FAM007981	FAM009285	FAM127108	FAM067169	FAM030393	FAM032546	FAM020421
rep020_seed2045	FAM013149	FAM001719	FAM012524	FAM011412	FAM003023	FAM010739	FAM002365	FAM001021	FAM008779	FAM011424	FAM003960	FAM000727	FAM006499	FAM010929	FAM008135	FAM001329	FAM002405	FAM012933	FAM004042	FAM004817	FAM004929	FAM008810	FAM010991	FAM001558	FAM000119	FAM000821	FAM006929	FAM010924	FAM001163	FAM002289	FAM008737	FAM010753	FAM013530	FAM002130	FAM004937	FAM005436	FAM001404	FAM000751	FAM013436	FAM001164	FAM000255	FAM006645	FAM000699	FAM000387	FAM001791	FAM002801	FAM004160	FAM000885	FAM005441	FAM004048	FAM002947	FAM002452	FAM006672	FAM004572	FAM007925	FAM001663	FAM000336	FAM007640	FAM013123	FAM000673	FAM004402	FAM006402	FAM002721	FAM013667	FAM013708	FAM008693	FAM011172	FAM013324	FAM115592	FAM064456	FAM037413	FAM040829	FAM016417
rep021_seed2046	FAM000144	FAM004868	FAM003360	FAM002190	FAM004223	FAM000245	FAM002692	FAM001389	FAM006734	FAM003764	FAM001147	FAM002341	FAM000326	FAM013655	FAM009049	FAM001247	FAM001923	FAM013340	FAM003530	FAM004080	FAM007656	FAM004962	FAM005188	FAM010580	FAM007517	FAM003449	FAM004613	FAM000642	FAM002301	FAM008313	FAM002281	FAM004650	FAM009817	FAM001371	FAM007089	FAM001285	FAM002437	FAM003070	FAM013565	FAM004029	FAM012453	FAM009742	FAM008875	FAM003462	FAM002552	FAM005625	FAM004103	FAM006062	FAM010544	FAM008217	FAM010229	FAM006610	FAM010525	FAM012610	FAM009699	FAM004136	FAM001074	FAM013936	FAM001910	FAM001903	FAM000363	FAM001351	FAM005184	FAM013949	FAM012887	FAM011968	FAM006079	FAM005893	FAM123904	FAM071612	FAM036205	FAM031385	FAM019380
rep022_seed2047	FAM006522	FAM003768	FAM013075	FAM001656	FAM011906	FAM000383	FAM004320	FAM001302	FAM012955	FAM008458	FAM008787	FAM005617	FAM005832	FAM004461	FAM002849	FAM000457	FAM007859	FAM009660	FAM011356	FAM000680	FAM000248	FAM000309	FAM007820	FAM004835	FAM003602	FAM006767	FAM000190	FAM002021	FAM000717	FAM004802	FAM001319	FAM000718	FAM001481	FAM010883	FAM007733	FAM001013	FAM003716	FAM000258	FAM008059	FAM011373	FAM010762	FAM001597	FAM005490	FAM003416	FAM005652	FAM000077	FAM003091	FAM003771	FAM008545	FAM002778	FAM000600	FAM003618	FAM013984	FAM002224	FAM002701	FAM006039	FAM003621	FAM009315	FAM004471	FAM001682	FAM001054	FAM007438	FAM002115	FAM012998	FAM013561	FAM006738	FAM009636	FAM012186	FAM129378	FAM069663	FAM042863	FAM038626	FAM023923
rep023_seed2048	FAM005637	FAM001536	FAM012006	FAM004136	FAM007862	FAM002876	FAM011953	FAM005276	FAM012686	FAM001183	FAM012180	FAM001322	FAM012739	FAM008316	FAM004219	FAM008760	FAM000971	FAM004795	FAM004014	FAM004550	FAM002037	FAM000239	FAM011404	FAM003228	FAM009687	FAM003044	FAM004500	FAM001343	FAM006476	FAM007129	FAM002412	FAM010325	FAM002043	FAM004794	FAM001084	FAM006986	FAM003930	FAM003162	FAM010008	FAM005857	FAM001021	FAM000981	FAM013565	FAM004201	FAM004290	FAM012125	FAM013787	FAM005430	FAM006012	FAM007552	FAM000105	FAM002967	FAM012312	FAM005032	FAM012345	FAM009476	FAM007742	FAM000019	FAM006399	FAM009455	FAM012741	FAM001188	FAM007474	FAM014517	FAM013810	FAM009861	FAM008307	FAM008857	FAM108521	FAM058216	FAM041536	FAM028673	FAM025919
rep024_seed2049	FAM003276	FAM000883	FAM008310	FAM003422	FAM006317	FAM008149	FAM006766	FAM002093	FAM002330	FAM003198	FAM004949	FAM000415	FAM002495	FAM012476	FAM006460	FAM002779	FAM004893	FAM005925	FAM012363	FAM004964	FAM000177	FAM004182	FAM013477	FAM014695	FAM002801	FAM004717	FAM006150	FAM002305	FAM012910	FAM002398	FAM002422	FAM002526	FAM009608	FAM002018	FAM001998	FAM004872	FAM000888	FAM001382	FAM001864	FAM000528	FAM009632	FAM002699	FAM005320	FAM005165	FAM009053	FAM006685	FAM005142	FAM000509	FAM006069	FAM003154	FAM004347	FAM003304	FAM001478	FAM003425	FAM002454	FAM001847	FAM006120	FAM001962	FAM007846	FAM002158	FAM013074	FAM010211	FAM005754	FAM014420	FAM011204	FAM008531	FAM007728	FAM006461	FAM127330	FAM065062	FAM030257	FAM040878	FAM023274
rep025_seed2050	FAM011071	FAM001030	FAM009344	FAM001475	FAM002039	FAM004832	FAM002116	FAM004945	FAM009840	FAM001468	FAM003307	FAM002465	FAM007415	FAM007885	FAM008294	FAM007289	FAM002642	FAM002943	FAM002735	FAM001032	FAM008746	FAM001828	FAM001315	FAM011032	FAM003431	FAM002849	FAM004194	FAM002157	FAM005466	FAM000923	FAM000028	FAM005461	FAM000540	FAM006197	FAM008930	FAM006918	FAM008687	FAM003255	FAM004209	FAM002443	FAM001834	FAM010410	FAM002054	FAM002385	FAM000769	FAM009342	FAM002184	FAM000863	FAM001179	FAM000577	FAM007535	FAM006851	FAM009045	FAM011294	FAM007093	FAM001640	FAM001301	FAM001413	FAM002755	FAM000210	FAM002091	FAM001932	FAM003862	FAM009305	FAM013163	FAM014001	FAM009042	FAM007874	FAM108521	FAM059036	FAM041597	FAM034305	FAM024100
rep026_seed2051	FAM004135	FAM004194	FAM001046	FAM002474	FAM013458	FAM002280	FAM004079	FAM002206	FAM011244	FAM004149	FAM006929	FAM013948	FAM007025	FAM000979	FAM001845	FAM006348	FAM003480	FAM003141	FAM013050	FAM003462	FAM006881	FAM001858	FAM003241	FAM001511	FAM006535	FAM003874	FAM002976	FAM000958	FAM011725	FAM000987	FAM006803	FAM004307	FAM000513	FAM002075	FAM004666	FAM007108	FAM005085	FAM012118	FAM001981	FAM006039	FAM004403	FAM002189	FAM000333	FAM000656	FAM002111	FAM005889	FAM002092	FAM001035	FAM013722	FAM007418	FAM011090	FAM001541	FAM000332	FAM002782	FAM000597	FAM007799	FAM000933	FAM000580	FAM008035	FAM004411	FAM001107	FAM012380	FAM012351	FAM011955	FAM008983	FAM007823	FAM012559	FAM004091	FAM111342	FAM057901	FAM043284	FAM032572	FAM026423
rep027_seed2052	FAM002386	FAM010569	FAM003909	FAM005491	FAM010228	FAM007130	FAM000088	FAM011641	FAM000301	FAM001134	FAM002262	FAM004137	FAM010099	FAM004069	FAM000309	FAM000524	FAM004867	FAM005176	FAM001764	FAM002304	FAM003590	FAM004480	FAM001022	FAM003334	FAM004101	FAM011212	FAM006725	FAM003301	FAM005309	FAM010160	FAM009689	FAM003347	FAM011043	FAM000024	FAM002046	FAM012687	FAM003934	FAM002980	FAM005669	FAM000281	FAM004540	FAM001029	FAM007870	FAM000989	FAM002791	FAM006495	FAM012588	FAM004857	FAM010860	FAM000157	FAM007269	FAM003835	FAM002781	FAM006038	FAM003999	FAM003747	FAM003305	FAM007744	FAM011754	FAM003503	FAM000656	FAM001568	FAM002679	FAM007619	FAM008945	FAM014053	FAM011568	FAM004544	FAM110603	FAM068925	FAM038862	FAM041915	FAM019807
rep028_seed2053	FAM003300	FAM012787	FAM000555	FAM005393	FAM000816	FAM004630	FAM003534	FAM000304	FAM001836	FAM002242	FAM003645	FAM006319	FAM002250	FAM002278	FAM005317	FAM000470	FAM007671	FAM002280	FAM013748	FAM001589	FAM000225	FAM005270	FAM000836	FAM002954	FAM005221	FAM001281	FAM002929	FAM003911	FAM001565	FAM009922	FAM000382	FAM002848	FAM012515	FAM002239	FAM003491	FAM001413	FAM005974	FAM001115	FAM007167	FAM000038	FAM008755	FAM004472	FAM003831	FAM005343	FAM001788	FAM007941	FAM007200	FAM000915	FAM004064	FAM014151	FAM011578	FAM006748	FAM001673	FAM012479	FAM001692	FAM001374	FAM003920	FAM002874	FAM009359	FAM012135	FAM006081	FAM007932	FAM011892	FAM010974	FAM006061	FAM012043	FAM009841	FAM014043	FAM118886	FAM068067	FAM035772	FAM029628	FAM015939
rep029_seed2054	FAM000190	FAM014421	FAM012778	FAM011569	FAM001502	FAM002311	FAM004295	FAM006964	FAM003248	FAM000713	FAM010289	FAM000483	FAM006554	FAM001026	FAM007208	FAM005753	FAM008570	FAM000880	FAM010201	FAM001364	FAM007053	FAM001660	FAM010551	FAM012667	FAM000065	FAM000182	FAM003912	FAM003076	FAM008029	FAM008814	FAM000914	FAM001658	FAM000142	FAM003180	FAM003187	FAM001999	FAM007406	FAM006756	FAM010924	FAM011149	FAM003211	FAM006459	FAM005038	FAM002986	FAM005176	FAM002583	FAM010697	FAM006991	FAM001237	FAM002432	FAM003216	FAM006213	FAM002761	FAM014045	FAM001354	FAM007811	FAM000940	FAM006473	FAM002930	FAM009676	FAM011818	FAM004943	FAM002134	FAM009897	FAM013247	FAM007953	FAM002362	FAM010849	FAM109349	FAM071612	FAM029583	FAM042821	FAM018187
