rep000_seed0000	CFF000428	CFF000670	CFF000672	CFF001027	CFF001554	CFF000424	CFF000605	CFF001201	CFF000062	CFF000500	CFF000063	CFF000437	CFF000379	CFF001257	CFF000044	CFF000622	CFF000624	CFF000178
rep018_seed2043	FAM004323	FAM004906	FAM007027	FAM005170	FAM004081	FAM000926	FAM001063	FAM000026	FAM006129	FAM002141	FAM010099	FAM005131	FAM002344	FAM011381	FAM012564	FAM003727	FAM011677	FAM008810
rep019_seed2044	FAM004154	FAM012075	FAM001718	FAM001363	FAM002874	FAM000987	FAM012754	FAM000546	FAM003376	FAM007612	FAM011807	FAM010317	FAM014064	FAM002491	FAM010257	FAM006920	FAM006145	FAM002391
rep020_seed2045	FAM013406	FAM001431	FAM012531	FAM014461	FAM007842	FAM000200	FAM006428	FAM003363	FAM009250	FAM003071	FAM008893	FAM001673	FAM007590	FAM010929	FAM000323	FAM001329	FAM000987	FAM007640
rep021_seed2046	FAM002006	FAM012214	FAM009427	FAM006078	FAM011486	FAM009739	FAM001737	FAM009408	FAM007453	FAM002906	FAM008233	FAM002075	FAM001646	FAM006129	FAM006041	FAM006841	FAM006289	FAM007555
rep022_seed2047	FAM011649	FAM000894	FAM011019	FAM004659	FAM001465	FAM002879	FAM000252	FAM000911	FAM012955	FAM008458	FAM003464	FAM000989	FAM000984	FAM004547	FAM010059	FAM009564	FAM000606	FAM001812
rep023_seed2048	FAM004489	FAM002772	FAM001268	FAM005417	FAM005709	FAM001120	FAM003107	FAM002962	FAM001295	FAM001917	FAM000865	FAM000303	FAM010146	FAM002561	FAM001889	FAM001892	FAM005538	FAM011226
rep024_seed2049	FAM012021	FAM003305	FAM003303	FAM001002	FAM003396	FAM011892	FAM002867	FAM001970	FAM006124	FAM002677	FAM013787	FAM003584	FAM001287	FAM011210	FAM006460	FAM004426	FAM009144	FAM002475
rep025_seed2050	FAM006593	FAM003439	FAM004406	FAM008526	FAM003652	FAM003149	FAM002689	FAM001176	FAM002612	FAM009091	FAM007858	FAM002465	FAM000795	FAM000483	FAM002840	FAM000891	FAM007030	FAM002943
rep026_seed2051	FAM004663	FAM002551	FAM009998	FAM009210	FAM013458	FAM005349	FAM013340	FAM011424	FAM000187	FAM002414	FAM001668	FAM009877	FAM001309	FAM004984	FAM009286	FAM004734	FAM003480	FAM002452
rep027_seed2052	FAM004404	FAM008298	FAM001714	FAM006277	FAM003797	FAM003338	FAM010487	FAM003828	FAM009986	FAM005270	FAM003023	FAM003272	FAM001709	FAM003320	FAM000309	FAM000517	FAM000566	FAM001034
rep028_seed2053	FAM012716	FAM008032	FAM004411	FAM003543	FAM003412	FAM006910	FAM004630	FAM002712	FAM000337	FAM000384	FAM003443	FAM000458	FAM004491	FAM003779	FAM001052	FAM009940	FAM002110	FAM011300
rep029_seed2054	FAM002134	FAM003563	FAM008812	FAM005065	FAM011242	FAM003699	FAM002660	FAM014533	FAM003536	FAM000713	FAM002975	FAM004867	FAM002645	FAM005609	FAM002918	FAM002218	FAM012835	FAM006006
rep030_seed2055	FAM006950	FAM000065	FAM010698	FAM004392	FAM002293	FAM007858	FAM005972	FAM002787	FAM000243	FAM004451	FAM002688	FAM001413	FAM001748	FAM005753	FAM000010	FAM008242	FAM007598	FAM003101
rep031_seed2056	FAM003462	FAM009116	FAM004707	FAM009805	FAM003502	FAM000769	FAM012409	FAM010076	FAM007177	FAM004738	FAM007967	FAM001550	FAM007717	FAM013538	FAM008051	FAM002056	FAM009400	FAM002356
rep032_seed2057	FAM003004	FAM006657	FAM003074	FAM000974	FAM005590	FAM007829	FAM007375	FAM011303	FAM002799	FAM001491	FAM013444	FAM008201	FAM013276	FAM003723	FAM003524	FAM001594	FAM006433	FAM000008
rep033_seed2058	FAM007130	FAM002776	FAM004623	FAM003056	FAM014337	FAM000940	FAM007494	FAM005329	FAM002064	FAM012975	FAM006071	FAM007347	FAM003302	FAM013113	FAM012728	FAM001440	FAM001182	FAM000933
rep034_seed2059	FAM000557	FAM011034	FAM006388	FAM009970	FAM000136	FAM009746	FAM003119	FAM004974	FAM011182	FAM002649	FAM005221	FAM005923	FAM001416	FAM001505	FAM012319	FAM010461	FAM005052	FAM002974
rep035_seed2060	FAM005376	FAM008865	FAM014482	FAM001912	FAM004523	FAM002957	FAM003934	FAM000141	FAM001423	FAM004305	FAM000651	FAM010494	FAM014605	FAM006717	FAM009667	FAM007845	FAM002508	FAM011848
rep036_seed2061	FAM001789	FAM004691	FAM004030	FAM003918	FAM000055	FAM001009	FAM002693	FAM002600	FAM007134	FAM005923	FAM005227	FAM003689	FAM001690	FAM003010	FAM005801	FAM001585	FAM004881	FAM000812
rep037_seed2062	FAM011359	FAM003769	FAM007286	FAM002032	FAM010453	FAM008147	FAM001235	FAM003921	FAM012345	FAM006368	FAM002970	FAM002922	FAM010910	FAM012823	FAM000505	FAM006494	FAM001010	FAM011985
rep038_seed2063	FAM002243	FAM003068	FAM009356	FAM001963	FAM001047	FAM007845	FAM003019	FAM001133	FAM000926	FAM007335	FAM014070	FAM011230	FAM000829	FAM009067	FAM011307	FAM000539	FAM005263	FAM001661
rep039_seed2064	FAM006433	FAM002881	FAM001433	FAM007092	FAM007880	FAM003141	FAM000634	FAM006780	FAM006762	FAM000943	FAM002517	FAM004249	FAM002312	FAM004189	FAM000408	FAM010890	FAM001976	FAM012897
rep040_seed2065	FAM001340	FAM000725	FAM006238	FAM007200	FAM007042	FAM012438	FAM005415	FAM001172	FAM007668	FAM001220	FAM000423	FAM003302	FAM002924	FAM003599	FAM004795	FAM008032	FAM012610	FAM003997
rep041_seed2066	FAM010575	FAM001068	FAM005590	FAM000071	FAM011773	FAM010756	FAM001865	FAM009417	FAM003828	FAM008547	FAM001009	FAM010809	FAM005392	FAM007316	FAM002924	FAM007859	FAM010859	FAM001529
rep042_seed2067	FAM000224	FAM006558	FAM002130	FAM002462	FAM003309	FAM013995	FAM009561	FAM003721	FAM003175	FAM003449	FAM003823	FAM011494	FAM010453	FAM011832	FAM000942	FAM004962	FAM004155	FAM003700
rep043_seed2068	FAM000690	FAM009744	FAM013294	FAM004281	FAM005057	FAM000196	FAM004180	FAM011250	FAM000046	FAM000125	FAM001834	FAM004943	FAM002613	FAM000210	FAM000591	FAM006145	FAM006207	FAM006283
rep044_seed2069	FAM000784	FAM005047	FAM008919	FAM003563	FAM010033	FAM005417	FAM000155	FAM007445	FAM001942	FAM002782	FAM004677	FAM003486	FAM000885	FAM010438	FAM004290	FAM002594	FAM000972	FAM005148
rep045_seed2070	FAM005107	FAM008460	FAM009092	FAM003384	FAM007929	FAM006488	FAM000743	FAM004642	FAM005674	FAM002234	FAM003276	FAM012564	FAM006411	FAM012955	FAM013356	FAM002444	FAM009389	FAM001071
rep046_seed2071	FAM008764	FAM000762	FAM008829	FAM007629	FAM000185	FAM000616	FAM001347	FAM001335	FAM004254	FAM007934	FAM006790	FAM004219	FAM002481	FAM009092	FAM004803	FAM003024	FAM001794	FAM005774
rep047_seed2072	FAM002755	FAM009298	FAM008242	FAM002610	FAM009454	FAM002540	FAM007690	FAM000459	FAM005751	FAM013041	FAM002829	FAM007137	FAM002655	FAM013714	FAM001220	FAM006129	FAM004434	FAM007516
rep048_seed2073	FAM002531	FAM002144	FAM007562	FAM003043	FAM013423	FAM001662	FAM000706	FAM002541	FAM001301	FAM000445	FAM006737	FAM012566	FAM001811	FAM007668	FAM008816	FAM004471	FAM000440	FAM003134
rep049_seed2074	FAM000629	FAM001200	FAM010703	FAM007889	FAM012353	FAM012522	FAM004672	FAM006841	FAM009200	FAM007208	FAM002671	FAM004770	FAM007946	FAM006712	FAM005222	FAM011586	FAM012098	FAM004870
rep050_seed2075	FAM014436	FAM003388	FAM013984	FAM012004	FAM001491	FAM001982	FAM004454	FAM005981	FAM003395	FAM013741	FAM001479	FAM012204	FAM014385	FAM012856	FAM004438	FAM002521	FAM001703	FAM000385
rep051_seed2076	FAM004052	FAM002277	FAM007153	FAM006671	FAM009527	FAM002019	FAM008409	FAM001366	FAM006866	FAM000693	FAM005613	FAM011641	FAM003971	FAM009632	FAM010371	FAM001750	FAM004106	FAM010595
rep052_seed2077	FAM006429	FAM000057	FAM008707	FAM012566	FAM008439	FAM001877	FAM002440	FAM003539	FAM005251	FAM002724	FAM000008	FAM007153	FAM006515	FAM001373	FAM004876	FAM013787	FAM010186	FAM013984
rep053_seed2078	FAM005564	FAM014366	FAM007212	FAM010986	FAM003020	FAM004115	FAM013945	FAM000061	FAM000213	FAM003462	FAM008470	FAM005863	FAM008712	FAM013211	FAM008899	FAM006404	FAM000336	FAM003975
rep054_seed2079	FAM004889	FAM005918	FAM003105	FAM000608	FAM000770	FAM005452	FAM000664	FAM004450	FAM012728	FAM002699	FAM003333	FAM008215	FAM002189	FAM000201	FAM006362	FAM002713	FAM002628	FAM005183
rep055_seed2080	FAM010391	FAM002829	FAM010809	FAM004188	FAM005700	FAM003395	FAM004119	FAM004524	FAM005912	FAM000294	FAM003580	FAM008257	FAM012373	FAM008094	FAM002878	FAM001040	FAM001695	FAM006592
rep056_seed2081	FAM005392	FAM000305	FAM008766	FAM003113	FAM002359	FAM003044	FAM000840	FAM013050	FAM011940	FAM001647	FAM005834	FAM001200	FAM002289	FAM000907	FAM004783	FAM001668	FAM012034	FAM012856
rep057_seed2082	FAM001248	FAM005700	FAM004254	FAM001001	FAM003484	FAM001006	FAM009433	FAM001651	FAM005323	FAM000513	FAM003113	FAM004514	FAM005087	FAM004794	FAM001097	FAM001572	FAM001518	FAM010254
rep058_seed2083	FAM007781	FAM009433	FAM004241	FAM013951	FAM009103	FAM012126	FAM003490	FAM005754	FAM012750	FAM007053	FAM010594	FAM004447	FAM001182	FAM002140	FAM012461	FAM012746	FAM005396	FAM007947
rep059_seed2084	FAM001876	FAM002805	FAM003225	FAM003610	FAM001378	FAM001691	FAM000028	FAM003228	FAM008032	FAM001488	FAM001677	FAM011726	FAM007858	FAM000894	FAM008449	FAM013444	FAM003827	FAM001893
rep060_seed2085	FAM000538	FAM001826	FAM007525	FAM002094	FAM006765	FAM003887	FAM009608	FAM003452	FAM000002	FAM000968	FAM010678	FAM001462	FAM000759	FAM000726	FAM001765	FAM002489	FAM003505	FAM013963
rep061_seed2086	FAM012020	FAM003759	FAM004672	FAM002237	FAM008225	FAM010633	FAM004066	FAM012575	FAM013935	FAM002569	FAM000051	FAM010438	FAM000168	FAM002737	FAM001648	FAM011437	FAM000852	FAM003085
rep062_seed2087	FAM001155	FAM000307	FAM002641	FAM001306	FAM008374	FAM002253	FAM001288	FAM011738	FAM000668	FAM012433	FAM002881	FAM003209	FAM002185	FAM001203	FAM000096	FAM004277	FAM006816	FAM004468
rep063_seed2088	FAM003819	FAM009272	FAM008930	FAM012891	FAM012012	FAM000584	FAM009654	FAM004957	FAM005323	FAM001565	FAM006863	FAM001960	FAM005170	FAM001913	FAM006205	FAM001562	FAM013924	FAM002669
rep064_seed2089	FAM004123	FAM012161	FAM004955	FAM002980	FAM002902	FAM000297	FAM006768	FAM001568	FAM003860	FAM005047	FAM002770	FAM003432	FAM007296	FAM003013	FAM010056	FAM001529	FAM001443	FAM006521
rep065_seed2090	FAM010610	FAM002363	FAM011506	FAM002077	FAM002307	FAM001356	FAM000763	FAM001380	FAM010397	FAM002341	FAM008775	FAM007706	FAM004383	FAM003270	FAM001516	FAM005750	FAM005848	FAM000674
rep066_seed2091	FAM011738	FAM008537	FAM003651	FAM009763	FAM003480	FAM003091	FAM000532	FAM002499	FAM008396	FAM000070	FAM005386	FAM006124	FAM009816	FAM008218	FAM001315	FAM002580	FAM000967	FAM004003
rep067_seed2092	FAM002532	FAM002758	FAM006197	FAM001898	FAM000831	FAM000412	FAM011804	FAM009648	FAM013274	FAM008561	FAM010756	FAM010623	FAM009689	FAM004644	FAM001891	FAM006447	FAM006810	FAM008349
rep068_seed2093	FAM007762	FAM012000	FAM000064	FAM010516	FAM001088	FAM002025	FAM011302	FAM002342	FAM006977	FAM007780	FAM007442	FAM000174	FAM004212	FAM011748	FAM003039	FAM007200	FAM007512	FAM008492
rep069_seed2094	FAM003216	FAM011447	FAM010086	FAM002138	FAM002242	FAM003202	FAM003529	FAM001163	FAM002807	FAM000728	FAM001836	FAM013192	FAM010504	FAM002609	FAM003033	FAM002638	FAM007309	FAM000915
rep070_seed2095	FAM013786	FAM001966	FAM006002	FAM001408	FAM002756	FAM004102	FAM007837	FAM004329	FAM001845	FAM007335	FAM004029	FAM010638	FAM008374	FAM001443	FAM004407	FAM009746	FAM004481	FAM006985
rep071_seed2096	FAM008796	FAM012398	FAM003048	FAM008935	FAM001041	FAM002298	FAM002913	FAM000253	FAM004249	FAM000682	FAM002166	FAM002828	FAM003028	FAM000094	FAM000789	FAM003755	FAM001480	FAM003985
rep072_seed2097	FAM002012	FAM000373	FAM006770	FAM002762	FAM010451	FAM005756	FAM003386	FAM006028	FAM003742	FAM007064	FAM005856	FAM003265	FAM003696	FAM001066	FAM008473	FAM002791	FAM009247	FAM000602
rep073_seed2098	FAM002451	FAM001024	FAM009081	FAM008908	FAM012098	FAM003339	FAM013698	FAM004501	FAM001312	FAM004292	FAM013625	FAM011102	FAM008184	FAM006250	FAM003041	FAM005296	FAM004864	FAM009045
rep074_seed2099	FAM004049	FAM002022	FAM000093	FAM000015	FAM008022	FAM000612	FAM003100	FAM006638	FAM008548	FAM011029	FAM002308	FAM005920	FAM009010	FAM004541	FAM003503	FAM000815	FAM007335	FAM003025
rep075_seed2100	FAM003110	FAM002273	FAM013729	FAM009092	FAM007034	FAM013050	FAM014447	FAM000531	FAM003063	FAM004423	FAM009559	FAM002967	FAM003489	FAM002992	FAM010563	FAM005490	FAM000956	FAM001555
rep076_seed2101	FAM007782	FAM002720	FAM006042	FAM003354	FAM008356	FAM001099	FAM007885	FAM012255	FAM009597	FAM011544	FAM006671	FAM001301	FAM003034	FAM004981	FAM010332	FAM004383	FAM007520	FAM010749
rep077_seed2102	FAM003584	FAM000630	FAM003247	FAM002550	FAM002272	FAM013741	FAM001461	FAM000378	FAM000724	FAM006759	FAM000868	FAM007810	FAM002472	FAM013995	FAM001052	FAM000845	FAM002696	FAM012746
rep078_seed2103	FAM007046	FAM001744	FAM001266	FAM003818	FAM004819	FAM001271	FAM008217	FAM005887	FAM000058	FAM000834	FAM000207	FAM005734	FAM004475	FAM001498	FAM000913	FAM007339	FAM004627	FAM000285
rep079_seed2104	FAM001438	FAM002373	FAM002015	FAM002780	FAM006298	FAM009670	FAM006809	FAM000617	FAM002662	FAM001827	FAM001101	FAM004398	FAM007118	FAM007442	FAM007734	FAM005165	FAM013123	FAM003417
rep080_seed2105	FAM002633	FAM009375	FAM001181	FAM004356	FAM013969	FAM006336	FAM012835	FAM005566	FAM000351	FAM003203	FAM008312	FAM010595	FAM004239	FAM013534	FAM000151	FAM003285	FAM001233	FAM013963
rep081_seed2106	FAM009799	FAM001202	FAM002141	FAM000966	FAM005504	FAM011207	FAM002026	FAM008957	FAM007214	FAM005332	FAM003026	FAM009873	FAM001196	FAM003662	FAM006182	FAM001916	FAM003949	FAM001546
rep082_seed2107	FAM001551	FAM001981	FAM005006	FAM001330	FAM009896	FAM001190	FAM003961	FAM002250	FAM003513	FAM009081	FAM000054	FAM008572	FAM003779	FAM000812	FAM009364	FAM012937	FAM005555	FAM006866
rep083_seed2108	FAM003723	FAM002185	FAM000091	FAM004671	FAM010778	FAM011515	FAM004876	FAM004221	FAM006593	FAM009980	FAM013716	FAM004802	FAM004313	FAM011675	FAM000826	FAM005977	FAM010039	FAM000064
rep084_seed2109	FAM002089	FAM001106	FAM010023	FAM005484	FAM004239	FAM001931	FAM003187	FAM002428	FAM006813	FAM005719	FAM007858	FAM009682	FAM005884	FAM005133	FAM009963	FAM001699	FAM003887	FAM009608
rep085_seed2110	FAM011676	FAM001269	FAM000061	FAM008827	FAM001679	FAM004379	FAM007760	FAM000817	FAM004397	FAM001819	FAM003011	FAM007017	FAM004698	FAM013691	FAM007784	FAM006947	FAM004445	FAM000756
rep086_seed2111	FAM005731	FAM003247	FAM003346	FAM001830	FAM014243	FAM000681	FAM006434	FAM004550	FAM012161	FAM010610	FAM002165	FAM004209	FAM000627	FAM008592	FAM001842	FAM001339	FAM002064	FAM012924
rep087_seed2112	FAM000954	FAM007269	FAM002514	FAM001954	FAM007612	FAM005934	FAM000847	FAM003920	FAM000275	FAM011102	FAM004012	FAM006145	FAM004684	FAM000863	FAM009777	FAM009731	FAM014385	FAM012028
rep088_seed2113	FAM006916	FAM005416	FAM001602	FAM005740	FAM000612	FAM003525	FAM001314	FAM008516	FAM005673	FAM002843	FAM011066	FAM009619	FAM001882	FAM012222	FAM006667	FAM010486	FAM003927	FAM000876
rep089_seed2114	FAM006268	FAM001683	FAM002860	FAM001489	FAM004976	FAM007273	FAM001308	FAM003201	FAM003372	FAM005755	FAM009831	FAM003027	FAM006667	FAM012772	FAM013444	FAM009005	FAM005108	FAM011128
rep090_seed2115	FAM008183	FAM003926	FAM002383	FAM001204	FAM006184	FAM010180	FAM011450	FAM005199	FAM002753	FAM000666	FAM003089	FAM000612	FAM000402	FAM006693	FAM002061	FAM007747	FAM000961	FAM000258
rep091_seed2116	FAM009934	FAM009335	FAM006586	FAM000556	FAM000238	FAM009001	FAM000168	FAM005014	FAM011524	FAM005465	FAM013020	FAM003643	FAM006747	FAM001332	FAM014505	FAM001088	FAM000313	FAM002623
rep092_seed2117	FAM003265	FAM014097	FAM008641	FAM000590	FAM007269	FAM003331	FAM010247	FAM008165	FAM002709	FAM001515	FAM005439	FAM000567	FAM001160	FAM004860	FAM005210	FAM002816	FAM000587	FAM009200
rep093_seed2118	FAM007259	FAM000264	FAM005391	FAM002604	FAM000481	FAM002319	FAM010636	FAM002702	FAM000488	FAM000201	FAM008369	FAM005846	FAM004209	FAM006138	FAM000942	FAM010749	FAM002300	FAM001925
rep094_seed2119	FAM012894	FAM003764	FAM002013	FAM002837	FAM007286	FAM001533	FAM002115	FAM002057	FAM013534	FAM002321	FAM000137	FAM002743	FAM007889	FAM005695	FAM003497	FAM008159	FAM003872	FAM007656
rep095_seed2120	FAM012707	FAM003881	FAM000814	FAM000409	FAM001723	FAM002025	FAM002488	FAM010027	FAM011276	FAM000122	FAM001928	FAM009069	FAM007415	FAM004765	FAM008526	FAM009930	FAM013533	FAM002163
rep096_seed2121	FAM002074	FAM003298	FAM005413	FAM003762	FAM000995	FAM000264	FAM002768	FAM004517	FAM013237	FAM011675	FAM004519	FAM001609	FAM007359	FAM003086	FAM002369	FAM006512	FAM001414	FAM000252
rep097_seed2122	FAM001949	FAM001571	FAM011242	FAM010317	FAM008384	FAM003843	FAM000594	FAM001345	FAM000276	FAM003579	FAM005424	FAM003245	FAM008183	FAM000795	FAM013834	FAM009660	FAM013192	FAM000094
rep098_seed2123	FAM004480	FAM004975	FAM005981	FAM001064	FAM012568	FAM013948	FAM000647	FAM001581	FAM000814	FAM009770	FAM011766	FAM003211	FAM011944	FAM001191	FAM008911	FAM002588	FAM010746	FAM005856
rep099_seed2124	FAM000626	FAM009112	FAM012200	FAM003565	FAM010623	FAM003033	FAM002021	FAM005033	FAM003768	FAM012880	FAM007788	FAM002640	FAM004825	FAM004102	FAM010354	FAM002190	FAM002594	FAM003014
rep100_seed2125	FAM000960	FAM012754	FAM001727	FAM000844	FAM011528	FAM005776	FAM005314	FAM004716	FAM011780	FAM014136	FAM006081	FAM001042	FAM007822	FAM001747	FAM006610	FAM006399	FAM001753	FAM003236
rep101_seed2126	FAM003229	FAM000486	FAM000991	FAM013551	FAM003505	FAM001475	FAM006021	FAM000901	FAM004797	FAM011754	FAM014015	FAM002537	FAM005222	FAM001601	FAM000253	FAM000946	FAM001268	FAM002440
rep102_seed2127	FAM000009	FAM006127	FAM003396	FAM011207	FAM006246	FAM007259	FAM002724	FAM007132	FAM001722	FAM003063	FAM004168	FAM007958	FAM002030	FAM002369	FAM000005	FAM006609	FAM001087	FAM004698
rep103_seed2128	FAM010219	FAM005014	FAM003529	FAM001273	FAM002367	FAM006303	FAM012200	FAM002728	FAM005346	FAM003005	FAM000675	FAM008657	FAM000077	FAM001688	FAM000762	FAM002634	FAM000565	FAM001310
rep104_seed2129	FAM005191	FAM011306	FAM001013	FAM001949	FAM010210	FAM010445	FAM000922	FAM013972	FAM002076	FAM002643	FAM002789	FAM002134	FAM001619	FAM004645	FAM004125	FAM005174	FAM003377	FAM010475
rep105_seed2130	FAM000630	FAM002164	FAM001920	FAM000571	FAM013645	FAM004230	FAM000635	FAM002213	FAM005740	FAM003298	FAM001283	FAM001627	FAM000718	FAM005248	FAM006852	FAM008108	FAM010074	FAM012586
rep106_seed2131	FAM000029	FAM004618	FAM009472	FAM014121	FAM005966	FAM007273	FAM005165	FAM001825	FAM000098	FAM002113	FAM003610	FAM005360	FAM006643	FAM013389	FAM007153	FAM006670	FAM000489	FAM010676
rep107_seed2132	FAM002180	FAM003271	FAM004613	FAM008432	FAM006384	FAM002726	FAM006491	FAM000630	FAM003283	FAM011462	FAM013113	FAM009286	FAM003818	FAM003828	FAM013991	FAM000333	FAM003119	FAM005039
rep108_seed2133	FAM003117	FAM003284	FAM006945	FAM013121	FAM011758	FAM006716	FAM008526	FAM000945	FAM005205	FAM002560	FAM004238	FAM006244	FAM000068	FAM003010	FAM012031	FAM004194	FAM001148	FAM000165
rep109_seed2134	FAM005607	FAM003768	FAM003219	FAM008232	FAM002108	FAM001885	FAM004835	FAM000092	FAM007360	FAM005621	FAM007301	FAM002562	FAM003043	FAM003896	FAM012031	FAM001054	FAM010197	FAM001791
rep110_seed2135	FAM000224	FAM010115	FAM001125	FAM007506	FAM001435	FAM007684	FAM007576	FAM002692	FAM000678	FAM001062	FAM002330	FAM000444	FAM003575	FAM001395	FAM005389	FAM005854	FAM001128	FAM000749
rep111_seed2136	FAM002338	FAM014191	FAM013943	FAM003766	FAM000883	FAM005889	FAM002908	FAM005763	FAM008526	FAM005148	FAM010769	FAM001885	FAM010201	FAM003815	FAM005643	FAM002634	FAM000430	FAM001382
rep112_seed2137	FAM014436	FAM003211	FAM010510	FAM000835	FAM003159	FAM005572	FAM005412	FAM001760	FAM003559	FAM005700	FAM007525	FAM001550	FAM001150	FAM000787	FAM006097	FAM000422	FAM000431	FAM004617
rep113_seed2138	FAM002833	FAM005013	FAM001710	FAM001501	FAM001169	FAM000964	FAM001869	FAM002299	FAM005120	FAM003218	FAM003862	FAM010165	FAM001776	FAM000406	FAM006330	FAM002016	FAM000439	FAM003320
rep114_seed2139	FAM008139	FAM012667	FAM009570	FAM010828	FAM013368	FAM003160	FAM008757	FAM001943	FAM004000	FAM004476	FAM006633	FAM001233	FAM012004	FAM008392	FAM007046	FAM000384	FAM000765	FAM001783
rep115_seed2140	FAM004344	FAM007401	FAM002072	FAM004557	FAM001342	FAM003752	FAM002446	FAM005142	FAM006034	FAM009708	FAM000959	FAM000979	FAM008841	FAM007669	FAM001144	FAM000971	FAM008694	FAM003128
rep116_seed2141	FAM013492	FAM004570	FAM000315	FAM006005	FAM003790	FAM003052	FAM003154	FAM001583	FAM006007	FAM001272	FAM003326	FAM003342	FAM002940	FAM006205	FAM004623	FAM005519	FAM007416	FAM001828
rep117_seed2142	FAM001260	FAM001409	FAM002067	FAM013714	FAM000389	FAM003401	FAM011438	FAM003237	FAM002131	FAM006610	FAM001703	FAM013612	FAM004516	FAM010418	FAM007534	FAM010510	FAM002471	FAM010327
