rep000_seed0000	CFF000437	CFF000083	CFF000899	CFF000672	CFF000209	CFF001554	CFF000558	CFF000013	CFF000810	CFF000063	CFF000072	CFF001243	CFF016868	CFF000228	CFF000331
rep036_seed2061	FAM011317	FAM014536	FAM007267	FAM012605	FAM000766	FAM003718	FAM000876	FAM004667	FAM004351	FAM001575	FAM004316	FAM008603	FAM010709	FAM009684	FAM019664
rep037_seed2062	FAM005695	FAM002846	FAM000625	FAM003091	FAM002583	FAM011395	FAM003748	FAM005913	FAM002524	FAM013626	FAM009132	FAM004873	FAM010933	FAM002388	FAM016609
rep038_seed2063	FAM009932	FAM007691	FAM004102	FAM010502	FAM013892	FAM000714	FAM004206	FAM012106	FAM013312	FAM005769	FAM003525	FAM000190	FAM008578	FAM011434	FAM023184
rep039_seed2064	FAM005627	FAM010522	FAM004635	FAM000920	FAM003307	FAM002063	FAM008312	FAM010204	FAM002641	FAM004491	FAM008477	FAM001646	FAM007449	FAM002739	FAM028802
rep040_seed2065	FAM006769	FAM003962	FAM004495	FAM003102	FAM002046	FAM006276	FAM005246	FAM007308	FAM002099	FAM014268	FAM007396	FAM006977	FAM004511	FAM005676	FAM025749
rep041_seed2066	FAM005747	FAM007958	FAM002316	FAM012975	FAM006314	FAM011594	FAM004298	FAM001266	FAM003718	FAM003290	FAM001382	FAM003834	FAM007247	FAM004329	FAM026819
rep042_seed2067	FAM005699	FAM003876	FAM008485	FAM000212	FAM006178	FAM010657	FAM012522	FAM005364	FAM011236	FAM002512	FAM012110	FAM014473	FAM010461	FAM012104	FAM029100
rep043_seed2068	FAM004812	FAM012293	FAM004178	FAM008764	FAM005787	FAM007324	FAM007139	FAM002610	FAM006967	FAM010465	FAM005904	FAM002913	FAM004556	FAM000369	FAM028377
rep044_seed2069	FAM007450	FAM010232	FAM013505	FAM011107	FAM005278	FAM004910	FAM003564	FAM003843	FAM006868	FAM001856	FAM005956	FAM009953	FAM008464	FAM010396	FAM022719
rep045_seed2070	FAM012670	FAM004144	FAM006453	FAM000949	FAM000864	FAM004827	FAM004159	FAM006188	FAM013946	FAM008917	FAM007740	FAM000173	FAM006241	FAM014654	FAM021094
rep046_seed2071	FAM007367	FAM002794	FAM005092	FAM003941	FAM010348	FAM000602	FAM011390	FAM003384	FAM002788	FAM007066	FAM003484	FAM004296	FAM003472	FAM007458	FAM017313
rep047_seed2072	FAM008596	FAM006089	FAM001222	FAM000067	FAM007109	FAM000709	FAM003662	FAM007436	FAM007308	FAM007951	FAM004587	FAM009787	FAM008153	FAM007358	FAM026412
rep048_seed2073	FAM006350	FAM002528	FAM007635	FAM007047	FAM006159	FAM007576	FAM004321	FAM005834	FAM012417	FAM002132	FAM001898	FAM005166	FAM002802	FAM009713	FAM028934
rep049_seed2074	FAM010167	FAM002711	FAM004949	FAM010619	FAM006961	FAM009481	FAM013019	FAM009050	FAM007517	FAM014458	FAM007457	FAM003505	FAM003314	FAM014239	FAM026134
rep050_seed2075	FAM005403	FAM000735	FAM000026	FAM008059	FAM003918	FAM010373	FAM003223	FAM010285	FAM002602	FAM003646	FAM003663	FAM004935	FAM002071	FAM001950	FAM020202
rep051_seed2076	FAM013522	FAM011954	FAM014151	FAM004512	FAM004378	FAM011738	FAM001360	FAM003188	FAM002500	FAM014534	FAM000045	FAM004806	FAM005106	FAM000160	FAM016985
rep052_seed2077	FAM009954	FAM005287	FAM001564	FAM006610	FAM003111	FAM005718	FAM002831	FAM009513	FAM001697	FAM001598	FAM000026	FAM004410	FAM003512	FAM000234	FAM022312
rep053_seed2078	FAM000577	FAM011214	FAM013123	FAM009859	FAM008121	FAM000380	FAM002426	FAM002082	FAM006776	FAM000539	FAM006365	FAM003747	FAM010646	FAM013630	FAM027251
rep054_seed2079	FAM009537	FAM006335	FAM002358	FAM009741	FAM009455	FAM011288	FAM001949	FAM004049	FAM008538	FAM006686	FAM005503	FAM003346	FAM001935	FAM003037	FAM026210
rep055_seed2080	FAM009569	FAM009797	FAM003223	FAM009301	FAM002746	FAM001408	FAM003499	FAM000945	FAM005218	FAM003129	FAM003915	FAM007720	FAM007834	FAM011168	FAM019657
rep056_seed2081	FAM000425	FAM004988	FAM002521	FAM006443	FAM014535	FAM000615	FAM000176	FAM011585	FAM002115	FAM000972	FAM002711	FAM001944	FAM001084	FAM001725	FAM023192
rep057_seed2082	FAM009797	FAM005228	FAM008167	FAM000233	FAM003624	FAM004896	FAM003989	FAM007232	FAM004350	FAM001781	FAM006172	FAM003866	FAM000149	FAM002186	FAM017533
rep058_seed2083	FAM006718	FAM003581	FAM001454	FAM000092	FAM011089	FAM005400	FAM010579	FAM001487	FAM001718	FAM006403	FAM000102	FAM001617	FAM005023	FAM008554	FAM017319
rep059_seed2084	FAM000003	FAM005671	FAM002371	FAM006640	FAM006099	FAM001917	FAM000678	FAM004982	FAM004968	FAM003709	FAM001639	FAM002593	FAM008974	FAM003891	FAM019790
rep060_seed2085	FAM001817	FAM013611	FAM008050	FAM005305	FAM008476	FAM008809	FAM011656	FAM007076	FAM008528	FAM000830	FAM009638	FAM012198	FAM005719	FAM002470	FAM018154
rep061_seed2086	FAM005645	FAM007031	FAM007687	FAM001750	FAM004927	FAM000015	FAM003565	FAM013616	FAM014063	FAM003831	FAM005699	FAM009688	FAM005223	FAM002397	FAM022326
rep062_seed2087	FAM003740	FAM003344	FAM004013	FAM008040	FAM013716	FAM001757	FAM008281	FAM005968	FAM008466	FAM003369	FAM010219	FAM001858	FAM001911	FAM001198	FAM018357
rep063_seed2088	FAM000235	FAM009249	FAM009528	FAM008436	FAM012296	FAM011840	FAM001620	FAM003055	FAM011715	FAM006701	FAM004039	FAM008363	FAM006691	FAM003545	FAM027880
rep064_seed2089	FAM000638	FAM000230	FAM008217	FAM003251	FAM006979	FAM000592	FAM008670	FAM013676	FAM006043	FAM014232	FAM001788	FAM003192	FAM002217	FAM002789	FAM018251
rep065_seed2090	FAM001390	FAM002839	FAM009981	FAM004908	FAM005638	FAM008748	FAM004744	FAM014671	FAM005311	FAM003270	FAM003206	FAM001181	FAM004804	FAM002815	FAM015120
rep066_seed2091	FAM001757	FAM005113	FAM003110	FAM012481	FAM011504	FAM009655	FAM006805	FAM000004	FAM005363	FAM002830	FAM009208	FAM009876	FAM003079	FAM008754	FAM020092
rep067_seed2092	FAM007679	FAM006784	FAM007813	FAM001204	FAM011159	FAM006480	FAM005794	FAM003692	FAM005120	FAM013296	FAM005022	FAM001229	FAM001687	FAM005330	FAM025636
rep068_seed2093	FAM005979	FAM004864	FAM000440	FAM011329	FAM012398	FAM000386	FAM002740	FAM000782	FAM003885	FAM003261	FAM005859	FAM002686	FAM001876	FAM005526	FAM029086
rep069_seed2094	FAM009769	FAM001795	FAM004100	FAM000320	FAM000833	FAM013403	FAM007330	FAM000195	FAM002520	FAM001357	FAM001433	FAM000513	FAM000396	FAM003487	FAM015849
rep070_seed2095	FAM004795	FAM005750	FAM004489	FAM006595	FAM009169	FAM010280	FAM005941	FAM006172	FAM002826	FAM001964	FAM008040	FAM006043	FAM009984	FAM008502	FAM016314
rep071_seed2096	FAM006745	FAM001782	FAM014668	FAM000984	FAM001980	FAM007685	FAM002758	FAM002265	FAM006463	FAM005606	FAM006483	FAM001870	FAM000763	FAM008432	FAM028195
rep072_seed2097	FAM004007	FAM004974	FAM000978	FAM004601	FAM004483	FAM000154	FAM012963	FAM000329	FAM006953	FAM007297	FAM001850	FAM000587	FAM002257	FAM008589	FAM022374
rep073_seed2098	FAM001031	FAM005944	FAM007329	FAM009281	FAM000967	FAM006524	FAM007714	FAM009932	FAM001287	FAM005003	FAM002407	FAM011417	FAM012866	FAM009458	FAM021865
rep074_seed2099	FAM001677	FAM006858	FAM004070	FAM012763	FAM001638	FAM005163	FAM000649	FAM001346	FAM009087	FAM002118	FAM002162	FAM006926	FAM010012	FAM009157	FAM020921
rep075_seed2100	FAM008122	FAM010668	FAM004144	FAM000176	FAM013449	FAM008222	FAM004127	FAM006444	FAM000205	FAM000138	FAM002315	FAM005090	FAM001971	FAM001640	FAM018112
rep076_seed2101	FAM000177	FAM004886	FAM013850	FAM003689	FAM003022	FAM000676	FAM007758	FAM003574	FAM009533	FAM001892	FAM007391	FAM005351	FAM003769	FAM002915	FAM026965
rep077_seed2102	FAM006270	FAM003684	FAM003784	FAM003566	FAM001166	FAM005855	FAM001355	FAM000853	FAM009934	FAM000212	FAM006690	FAM015286	FAM003024	FAM007923	FAM023082
rep078_seed2103	FAM000361	FAM003418	FAM000747	FAM000219	FAM002471	FAM009440	FAM003177	FAM000314	FAM009212	FAM003348	FAM005432	FAM004506	FAM013839	FAM001400	FAM016773
rep079_seed2104	FAM005916	FAM006387	FAM000576	FAM006914	FAM004367	FAM013519	FAM004478	FAM004990	FAM001099	FAM000661	FAM013787	FAM006979	FAM003827	FAM002642	FAM025465
rep080_seed2105	FAM006787	FAM003810	FAM006675	FAM004026	FAM003749	FAM010245	FAM001746	FAM004463	FAM006067	FAM003555	FAM006470	FAM005724	FAM000486	FAM005764	FAM014990
rep081_seed2106	FAM000504	FAM002716	FAM004035	FAM001685	FAM006358	FAM005101	FAM000189	FAM006230	FAM012339	FAM001150	FAM005177	FAM006668	FAM009083	FAM002730	FAM019528
rep082_seed2107	FAM001538	FAM005922	FAM007109	FAM007329	FAM007134	FAM003548	FAM003990	FAM010484	FAM006277	FAM004378	FAM000143	FAM001789	FAM003926	FAM000925	FAM025522
rep083_seed2108	FAM002429	FAM006419	FAM012363	FAM008198	FAM003173	FAM001775	FAM005587	FAM005739	FAM007201	FAM000966	FAM005658	FAM013245	FAM002084	FAM005436	FAM024706
rep084_seed2109	FAM006771	FAM004008	FAM011344	FAM010762	FAM008839	FAM007945	FAM008818	FAM005651	FAM006841	FAM007937	FAM008626	FAM004323	FAM004620	FAM004774	FAM022085
rep085_seed2110	FAM006554	FAM009200	FAM004476	FAM000798	FAM001433	FAM001290	FAM003390	FAM004560	FAM003658	FAM005455	FAM000873	FAM002728	FAM004741	FAM002343	FAM016315
rep086_seed2111	FAM010857	FAM003684	FAM001515	FAM006709	FAM005767	FAM004933	FAM007793	FAM001390	FAM002682	FAM008547	FAM003448	FAM004493	FAM003751	FAM002440	FAM017533
rep087_seed2112	FAM005000	FAM000704	FAM004680	FAM008661	FAM000569	FAM003048	FAM009458	FAM005507	FAM002570	FAM011063	FAM005042	FAM009185	FAM002520	FAM002882	FAM024421
rep088_seed2113	FAM001638	FAM004759	FAM000543	FAM005981	FAM012508	FAM005202	FAM005697	FAM005126	FAM003778	FAM006656	FAM001383	FAM010626	FAM008974	FAM005860	FAM019486
rep089_seed2114	FAM004630	FAM010873	FAM011685	FAM007056	FAM008630	FAM000449	FAM003515	FAM008558	FAM008974	FAM008610	FAM003059	FAM000677	FAM002425	FAM000242	FAM021882
rep090_seed2115	FAM011899	FAM001055	FAM004958	FAM007640	FAM005142	FAM006315	FAM006506	FAM014524	FAM010958	FAM003791	FAM005808	FAM004378	FAM011317	FAM004548	FAM018251
rep091_seed2116	FAM012828	FAM003295	FAM005151	FAM003169	FAM001730	FAM000954	FAM004488	FAM009289	FAM010372	FAM002110	FAM009192	FAM008695	FAM000665	FAM002050	FAM017160
rep092_seed2117	FAM007862	FAM000329	FAM014573	FAM011143	FAM008838	FAM000112	FAM005566	FAM012373	FAM000807	FAM004509	FAM005174	FAM006912	FAM004956	FAM008423	FAM022216
rep093_seed2118	FAM006888	FAM006963	FAM005179	FAM002330	FAM000893	FAM000426	FAM011435	FAM012367	FAM002055	FAM007384	FAM002512	FAM001892	FAM000718	FAM009343	FAM024854
rep094_seed2119	FAM000261	FAM005549	FAM007781	FAM003246	FAM006892	FAM011766	FAM000091	FAM008227	FAM004809	FAM005687	FAM008779	FAM002999	FAM007478	FAM009192	FAM027293
rep095_seed2120	FAM003372	FAM007125	FAM001343	FAM004597	FAM003320	FAM001291	FAM003985	FAM009908	FAM000363	FAM000200	FAM011121	FAM008546	FAM001126	FAM006715	FAM018555
rep096_seed2121	FAM004269	FAM004299	FAM006963	FAM002929	FAM000966	FAM006871	FAM002299	FAM010451	FAM000143	FAM005945	FAM007461	FAM002342	FAM001184	FAM002371	FAM023082
rep097_seed2122	FAM007279	FAM002069	FAM000349	FAM005637	FAM001888	FAM004639	FAM005478	FAM011348	FAM010230	FAM009988	FAM009271	FAM003806	FAM006330	FAM010474	FAM018107
rep098_seed2123	FAM004775	FAM010373	FAM002910	FAM009786	FAM005476	FAM006645	FAM000466	FAM001407	FAM004791	FAM003468	FAM000521	FAM003205	FAM004719	FAM013723	FAM022163
rep099_seed2124	FAM005078	FAM006918	FAM001312	FAM002871	FAM005468	FAM006688	FAM003044	FAM009169	FAM005858	FAM000032	FAM006788	FAM002106	FAM004955	FAM012270	FAM023312
rep100_seed2125	FAM002441	FAM003412	FAM012335	FAM007999	FAM013741	FAM000303	FAM007556	FAM008240	FAM011423	FAM000173	FAM000582	FAM003885	FAM000650	FAM007003	FAM030974
rep101_seed2126	FAM005506	FAM007789	FAM000830	FAM013194	FAM010217	FAM008671	FAM003621	FAM001238	FAM005381	FAM003214	FAM001387	FAM005718	FAM002692	FAM001085	FAM026574
rep102_seed2127	FAM002706	FAM006358	FAM004730	FAM006888	FAM005054	FAM008619	FAM004576	FAM003408	FAM001952	FAM010451	FAM011690	FAM004287	FAM005631	FAM001363	FAM016216
rep103_seed2128	FAM004320	FAM001795	FAM003096	FAM003590	FAM003679	FAM013613	FAM003585	FAM007426	FAM002230	FAM001048	FAM007367	FAM002139	FAM008676	FAM000194	FAM018774
rep104_seed2129	FAM006206	FAM000095	FAM008288	FAM007279	FAM001592	FAM007784	FAM005855	FAM002302	FAM004027	FAM001118	FAM002176	FAM009560	FAM003063	FAM003375	FAM017268
rep105_seed2130	FAM002263	FAM000203	FAM009273	FAM006032	FAM010962	FAM010637	FAM000423	FAM011680	FAM003118	FAM002876	FAM011551	FAM005987	FAM009948	FAM000604	FAM016274
rep106_seed2131	FAM001017	FAM007804	FAM008178	FAM013056	FAM006640	FAM007453	FAM001641	FAM007814	FAM013522	FAM005757	FAM011309	FAM004627	FAM010292	FAM009772	FAM019254
rep107_seed2132	FAM012678	FAM009277	FAM008736	FAM005771	FAM005051	FAM006270	FAM010494	FAM008297	FAM008460	FAM001580	FAM003418	FAM011718	FAM012876	FAM011807	FAM025465
rep108_seed2133	FAM001208	FAM002289	FAM011655	FAM003152	FAM004036	FAM005527	FAM009684	FAM001370	FAM001442	FAM013754	FAM003396	FAM000598	FAM012284	FAM002908	FAM015581
rep109_seed2134	FAM002126	FAM008559	FAM005728	FAM008394	FAM000421	FAM001318	FAM001442	FAM009596	FAM001113	FAM001523	FAM001724	FAM009025	FAM005373	FAM001001	FAM023121
rep110_seed2135	FAM001524	FAM013054	FAM003742	FAM004182	FAM013550	FAM002800	FAM002000	FAM002813	FAM006613	FAM008094	FAM007937	FAM011407	FAM011356	FAM006010	FAM016475
rep111_seed2136	FAM006147	FAM002421	FAM000789	FAM005778	FAM001900	FAM009572	FAM001701	FAM004756	FAM000306	FAM008394	FAM000550	FAM007059	FAM009609	FAM000148	FAM021189
rep112_seed2137	FAM000466	FAM011155	FAM007146	FAM004479	FAM004916	FAM000027	FAM013457	FAM008085	FAM005029	FAM012465	FAM006013	FAM009135	FAM004134	FAM002692	FAM028950
rep113_seed2138	FAM004545	FAM010422	FAM008082	FAM003034	FAM001324	FAM014636	FAM003719	FAM001851	FAM001763	FAM003554	FAM014141	FAM010166	FAM007335	FAM001172	FAM015410
rep114_seed2139	FAM014012	FAM005849	FAM009636	FAM006239	FAM008323	FAM007192	FAM002789	FAM003555	FAM008059	FAM009163	FAM002609	FAM011054	FAM004313	FAM004018	FAM016325
rep115_seed2140	FAM002190	FAM008686	FAM003053	FAM002749	FAM001119	FAM011982	FAM005475	FAM013554	FAM005766	FAM005644	FAM006840	FAM002085	FAM004308	FAM009970	FAM020957
rep116_seed2141	FAM006440	FAM010198	FAM008598	FAM008931	FAM000405	FAM003071	FAM000433	FAM008164	FAM003105	FAM000611	FAM006381	FAM001868	FAM006024	FAM004733	FAM024818
rep117_seed2142	FAM007871	FAM007436	FAM000325	FAM003720	FAM010753	FAM000814	FAM007507	FAM009318	FAM005790	FAM007572	FAM006059	FAM009289	FAM006220	FAM004672	FAM026341
rep118_seed2143	FAM005807	FAM009073	FAM008435	FAM010125	FAM003645	FAM007093	FAM008829	FAM007240	FAM000389	FAM001193	FAM000487	FAM001136	FAM006925	FAM000591	FAM019904
rep119_seed2144	FAM009339	FAM013011	FAM006390	FAM001282	FAM005242	FAM003109	FAM007078	FAM002653	FAM000538	FAM006656	FAM010405	FAM006028	FAM001804	FAM001151	FAM021785
rep120_seed2145	FAM004357	FAM002559	FAM000766	FAM005638	FAM015178	FAM012895	FAM001506	FAM010571	FAM005525	FAM003967	FAM003333	FAM000357	FAM010527	FAM008406	FAM020375
rep121_seed2146	FAM008395	FAM000241	FAM004271	FAM002044	FAM009198	FAM001258	FAM002155	FAM001101	FAM011944	FAM002441	FAM007754	FAM012690	FAM002995	FAM001471	FAM017807
rep122_seed2147	FAM008123	FAM001918	FAM012250	FAM013069	FAM006933	FAM004920	FAM005767	FAM005600	FAM000927	FAM009400	FAM006795	FAM013839	FAM005149	FAM001955	FAM020218
rep123_seed2148	FAM000321	FAM001759	FAM004720	FAM006181	FAM008638	FAM000807	FAM007531	FAM010939	FAM012627	FAM004794	FAM005878	FAM004062	FAM009655	FAM013165	FAM018429
rep124_seed2149	FAM013054	FAM007235	FAM010910	FAM004158	FAM001050	FAM005814	FAM001005	FAM003224	FAM004043	FAM010371	FAM006482	FAM003430	FAM003419	FAM007509	FAM017968
rep125_seed2150	FAM001679	FAM006994	FAM005715	FAM006580	FAM000196	FAM003902	FAM002758	FAM005741	FAM006326	FAM000726	FAM005836	FAM004097	FAM011121	FAM004110	FAM017122
rep126_seed2151	FAM012203	FAM004688	FAM000630	FAM007618	FAM002663	FAM003963	FAM000928	FAM002003	FAM009342	FAM010703	FAM008632	FAM000576	FAM003043	FAM014196	FAM028720
rep127_seed2152	FAM013349	FAM001469	FAM002139	FAM002432	FAM014305	FAM000076	FAM007423	FAM003682	FAM001179	FAM003200	FAM001871	FAM001193	FAM005818	FAM007140	FAM016216
rep128_seed2153	FAM007405	FAM000902	FAM012591	FAM001237	FAM004822	FAM001901	FAM002100	FAM003775	FAM002040	FAM008748	FAM006661	FAM008312	FAM009584	FAM006194	FAM024042
rep129_seed2154	FAM010123	FAM004549	FAM003903	FAM005759	FAM007306	FAM005983	FAM000332	FAM005524	FAM007187	FAM000048	FAM003695	FAM000004	FAM004856	FAM000546	FAM029040
rep130_seed2155	FAM001673	FAM012190	FAM005654	FAM004355	FAM004884	FAM008284	FAM011725	FAM013698	FAM004115	FAM000299	FAM002169	FAM004082	FAM006821	FAM002847	FAM026134
rep131_seed2156	FAM000919	FAM014180	FAM010121	FAM002309	FAM000244	FAM005350	FAM003107	FAM008198	FAM005758	FAM001268	FAM004045	FAM003977	FAM003419	FAM001931	FAM019472
rep132_seed2157	FAM008477	FAM000136	FAM005178	FAM012123	FAM001380	FAM005977	FAM000694	FAM002311	FAM000432	FAM013894	FAM002194	FAM012199	FAM009092	FAM000243	FAM026819
rep133_seed2158	FAM001670	FAM001744	FAM010174	FAM002024	FAM004764	FAM006562	FAM009896	FAM003255	FAM003260	FAM004222	FAM001308	FAM002860	FAM007263	FAM008990	FAM018251
rep134_seed2159	FAM001019	FAM014473	FAM000834	FAM007364	FAM005053	FAM006407	FAM002965	FAM002779	FAM001037	FAM007946	FAM005746	FAM007108	FAM005691	FAM000443	FAM021520
rep135_seed2160	FAM003884	FAM013223	FAM000005	FAM008812	FAM002984	FAM007945	FAM001590	FAM010626	FAM009682	FAM002792	FAM006448	FAM006035	FAM002959	FAM005051	FAM025772
rep136_seed2161	FAM004139	FAM008130	FAM005378	FAM003315	FAM003796	FAM001912	FAM003517	FAM007531	FAM007442	FAM012149	FAM009537	FAM000166	FAM003593	FAM001891	FAM023450
rep137_seed2162	FAM000570	FAM013808	FAM001258	FAM005756	FAM001519	FAM003759	FAM004592	FAM007839	FAM005141	FAM005800	FAM007300	FAM004125	FAM001684	FAM001250	FAM017988
rep138_seed2163	FAM002433	FAM008881	FAM007657	FAM003037	FAM000206	FAM010040	FAM001610	FAM002604	FAM000502	FAM005685	FAM002374	FAM003516	FAM014704	FAM002801	FAM018660
rep139_seed2164	FAM003653	FAM006791	FAM000776	FAM006875	FAM001931	FAM003882	FAM009424	FAM005717	FAM004817	FAM005899	FAM003729	FAM007265	FAM008492	FAM004956	FAM021142
