rep000_seed0000	CFF000437	CFF000610	CFF000428	CFF001141	CFF003956	CFF001018	CFF000322	CFF000659	CFF000319	CFF000379	CFF001257	CFF002337	CFF000637	CFF006553	CFF000083	CFF000451	CFF000899	CFF001189	CFF001406	CFF000575	CFF000670	CFF002295	CFF000044	CFF000452	CFF000672	CFF001027	CFF000274	CFF001499	CFF000209	CFF001554	CFF000256	CFF000558	CFF009478	CFF002891	CFF000237	CFF000474	CFF000079	CFF000737	CFF000022	CFF000013	CFF001975	CFF000810	CFF000622	CFF000424	CFF000605	CFF057668	CFF006988	CFF000752	CFF001201	CFF003996	CFF000523	CFF000503	CFF000621	CFF001323	CFF000427	CFF000062	CFF029952	CFF001929	CFF010002	CFF000500	CFF000063	CFF000072	CFF001243	CFF016868	CFF000228	CFF005943	CFF000624	CFF000330	CFF001254	CFF000178	CFF000331	CFF035066	CFF115363
rep011_seed2036	FAM002762	FAM001796	FAM004681	FAM007215	FAM006012	FAM010182	FAM001129	FAM008361	FAM001676	FAM000376	FAM001055	FAM003020	FAM012485	FAM012895	FAM002145	FAM012101	FAM007975	FAM004040	FAM000992	FAM000369	FAM006825	FAM010993	FAM004591	FAM010937	FAM009507	FAM008866	FAM007735	FAM000802	FAM000407	FAM000976	FAM008085	FAM002709	FAM005858	FAM010588	FAM004389	FAM002604	FAM005712	FAM001247	FAM002639	FAM005748	FAM010074	FAM004222	FAM012585	FAM009140	FAM005400	FAM003531	FAM007142	FAM007663	FAM005450	FAM001519	FAM009825	FAM003929	FAM003316	FAM006320	FAM006128	FAM012582	FAM000469	FAM008460	FAM006678	FAM007027	FAM003542	FAM006077	FAM006167	FAM000321	FAM004545	FAM006616	FAM014356	FAM012773	FAM110803	FAM064384	FAM039037	FAM035828	FAM020473
rep012_seed2037	FAM000926	FAM009143	FAM002251	FAM003276	FAM004842	FAM004569	FAM008722	FAM001555	FAM010166	FAM005695	FAM001036	FAM002161	FAM009339	FAM001155	FAM001976	FAM005681	FAM006338	FAM013425	FAM006617	FAM004069	FAM009263	FAM003469	FAM001999	FAM008760	FAM008532	FAM005434	FAM012942	FAM010574	FAM007306	FAM005648	FAM006199	FAM010584	FAM002320	FAM005772	FAM012913	FAM004262	FAM001954	FAM005685	FAM000543	FAM005058	FAM000705	FAM000051	FAM003822	FAM001855	FAM004821	FAM004270	FAM007705	FAM000616	FAM001479	FAM007698	FAM002626	FAM000152	FAM008281	FAM003718	FAM006468	FAM013314	FAM009405	FAM005312	FAM004998	FAM002757	FAM003038	FAM000404	FAM010041	FAM009369	FAM003668	FAM008456	FAM012152	FAM010458	FAM138347	FAM067943	FAM039288	FAM035397	FAM025284
rep013_seed2038	FAM014674	FAM000019	FAM001572	FAM002174	FAM003364	FAM009356	FAM001555	FAM006701	FAM004811	FAM004509	FAM007049	FAM002433	FAM013052	FAM005727	FAM004524	FAM001561	FAM004200	FAM004114	FAM003022	FAM004325	FAM003771	FAM007635	FAM002560	FAM003376	FAM001063	FAM004443	FAM005306	FAM011179	FAM013366	FAM000729	FAM010299	FAM004614	FAM001170	FAM000607	FAM002452	FAM000959	FAM005115	FAM004569	FAM006816	FAM011574	FAM005100	FAM006009	FAM009413	FAM004254	FAM001313	FAM002733	FAM012155	FAM004628	FAM004348	FAM005795	FAM004637	FAM002869	FAM000682	FAM001427	FAM005410	FAM000363	FAM004846	FAM005065	FAM006598	FAM004957	FAM002898	FAM010189	FAM012689	FAM006160	FAM005324	FAM007939	FAM014118	FAM009818	FAM143739	FAM060176	FAM032841	FAM041994	FAM022163
rep014_seed2039	FAM005542	FAM006140	FAM001118	FAM004220	FAM003090	FAM008061	FAM007781	FAM009741	FAM006389	FAM004949	FAM002539	FAM003302	FAM008283	FAM007189	FAM004998	FAM000715	FAM003959	FAM001259	FAM012760	FAM010098	FAM003100	FAM001951	FAM004232	FAM003997	FAM006351	FAM003230	FAM006953	FAM008141	FAM011705	FAM004308	FAM001422	FAM003345	FAM005775	FAM008329	FAM014436	FAM005785	FAM006940	FAM012874	FAM004940	FAM002641	FAM006406	FAM003480	FAM001591	FAM011254	FAM001780	FAM005235	FAM001143	FAM004123	FAM003408	FAM002067	FAM004382	FAM010802	FAM003987	FAM011063	FAM009905	FAM003390	FAM001208	FAM010711	FAM005238	FAM004880	FAM012567	FAM004328	FAM012715	FAM009143	FAM009686	FAM007360	FAM007942	FAM008479	FAM134138	FAM062135	FAM040390	FAM029652	FAM026299
rep015_seed2040	FAM002374	FAM005961	FAM000216	FAM002981	FAM010756	FAM013892	FAM005779	FAM004513	FAM007211	FAM009228	FAM013354	FAM004079	FAM007133	FAM010750	FAM008324	FAM008510	FAM001286	FAM001733	FAM000254	FAM001860	FAM007305	FAM001590	FAM006657	FAM002477	FAM011345	FAM001101	FAM006498	FAM008764	FAM008686	FAM009707	FAM012963	FAM002421	FAM011285	FAM005750	FAM004553	FAM004226	FAM001164	FAM003684	FAM004477	FAM002582	FAM011753	FAM001770	FAM010885	FAM007941	FAM001032	FAM012234	FAM004778	FAM003882	FAM003981	FAM003861	FAM000414	FAM006171	FAM003142	FAM012271	FAM007122	FAM004206	FAM014126	FAM007512	FAM009448	FAM008312	FAM007098	FAM004974	FAM003400	FAM003538	FAM002811	FAM014047	FAM008887	FAM013642	FAM133323	FAM061329	FAM047126	FAM032593	FAM015990
rep016_seed2041	FAM004955	FAM003065	FAM000728	FAM013277	FAM007047	FAM006960	FAM004344	FAM005606	FAM011799	FAM000222	FAM006081	FAM006798	FAM003141	FAM002166	FAM001764	FAM004109	FAM007551	FAM005164	FAM002675	FAM003087	FAM001298	FAM008140	FAM003849	FAM000327	FAM002555	FAM009857	FAM007811	FAM004298	FAM001489	FAM005517	FAM005965	FAM005212	FAM014196	FAM003821	FAM004896	FAM001001	FAM001310	FAM004611	FAM010339	FAM013732	FAM010664	FAM008723	FAM006896	FAM007705	FAM012248	FAM001838	FAM002993	FAM009939	FAM005378	FAM005827	FAM014213	FAM004107	FAM004854	FAM011063	FAM001544	FAM001535	FAM004144	FAM002866	FAM000071	FAM005592	FAM006279	FAM006254	FAM000354	FAM006373	FAM005418	FAM011513	FAM011531	FAM014174	FAM118397	FAM065173	FAM032785	FAM032613	FAM015565
rep017_seed2042	FAM007236	FAM004784	FAM005355	FAM009913	FAM008243	FAM001026	FAM007981	FAM002678	FAM010542	FAM012014	FAM005641	FAM005338	FAM001011	FAM008364	FAM007710	FAM003351	FAM001797	FAM010425	FAM003609	FAM002236	FAM000919	FAM003953	FAM001537	FAM011622	FAM003592	FAM004790	FAM009119	FAM004011	FAM010217	FAM011166	FAM001982	FAM007149	FAM007105	FAM004061	FAM010146	FAM001801	FAM008311	FAM014060	FAM005216	FAM008164	FAM004189	FAM008027	FAM005605	FAM003272	FAM007674	FAM004080	FAM006351	FAM002221	FAM005291	FAM001433	FAM005465	FAM003883	FAM008404	FAM002125	FAM000663	FAM007191	FAM014243	FAM012417	FAM000140	FAM000328	FAM003602	FAM001315	FAM006451	FAM002942	FAM009873	FAM005013	FAM006572	FAM014626	FAM128952	FAM060989	FAM039584	FAM042953	FAM018291
rep018_seed2043	FAM007003	FAM002988	FAM008931	FAM000121	FAM006935	FAM000555	FAM002804	FAM004308	FAM007435	FAM000514	FAM006378	FAM009423	FAM010502	FAM003586	FAM002705	FAM000745	FAM003351	FAM005948	FAM005359	FAM000865	FAM001153	FAM003561	FAM009062	FAM011013	FAM007270	FAM002074	FAM007233	FAM006343	FAM014514	FAM005288	FAM004417	FAM002226	FAM001735	FAM007239	FAM010137	FAM002591	FAM001891	FAM001334	FAM012975	FAM005842	FAM000052	FAM002084	FAM005965	FAM010246	FAM005577	FAM007837	FAM008941	FAM012453	FAM008068	FAM010189	FAM006816	FAM002646	FAM005371	FAM006871	FAM004280	FAM001713	FAM011339	FAM009150	FAM000264	FAM002838	FAM004023	FAM004821	FAM008024	FAM004743	FAM007529	FAM013860	FAM011492	FAM013560	FAM142570	FAM069530	FAM030486	FAM035013	FAM022006
rep019_seed2044	FAM003107	FAM004674	FAM005341	FAM003935	FAM003517	FAM000346	FAM001419	FAM000366	FAM000214	FAM007006	FAM006805	FAM002646	FAM003523	FAM005050	FAM003213	FAM002574	FAM004012	FAM003295	FAM014341	FAM001120	FAM000057	FAM006490	FAM006327	FAM002539	FAM005033	FAM013930	FAM000419	FAM009943	FAM012547	FAM000433	FAM000071	FAM001128	FAM011538	FAM001664	FAM004522	FAM002070	FAM004507	FAM000320	FAM010048	FAM009431	FAM004348	FAM000560	FAM001205	FAM000943	FAM001239	FAM006168	FAM003925	FAM010124	FAM000123	FAM012600	FAM005398	FAM003421	FAM006675	FAM000287	FAM014643	FAM006268	FAM008808	FAM002609	FAM008080	FAM002030	FAM004913	FAM004901	FAM011087	FAM003459	FAM004152	FAM011496	FAM011778	FAM013310	FAM139432	FAM057795	FAM035690	FAM033529	FAM020559
rep020_seed2045	FAM009471	FAM001332	FAM004057	FAM006215	FAM000785	FAM005648	FAM000647	FAM001012	FAM000916	FAM004710	FAM002541	FAM003517	FAM003744	FAM005891	FAM005106	FAM006636	FAM006467	FAM012275	FAM005512	FAM001963	FAM006770	FAM000439	FAM014123	FAM002949	FAM001231	FAM008532	FAM003137	FAM003009	FAM003048	FAM000560	FAM004538	FAM003827	FAM002618	FAM011687	FAM000876	FAM000233	FAM007249	FAM002431	FAM010133	FAM001822	FAM002848	FAM008852	FAM008359	FAM001827	FAM006138	FAM003950	FAM009148	FAM012237	FAM013331	FAM005104	FAM013976	FAM001651	FAM000026	FAM005133	FAM000467	FAM000850	FAM002530	FAM010425	FAM007008	FAM011938	FAM003644	FAM009547	FAM007203	FAM012540	FAM005140	FAM013666	FAM009364	FAM008588	FAM132130	FAM064147	FAM041044	FAM036090	FAM021381
rep021_seed2046	FAM003411	FAM007991	FAM000140	FAM006168	FAM014520	FAM003659	FAM010362	FAM007443	FAM002893	FAM002804	FAM002135	FAM001497	FAM009179	FAM004310	FAM011254	FAM006469	FAM003922	FAM006575	FAM004295	FAM011586	FAM000143	FAM005465	FAM001731	FAM008022	FAM005587	FAM004642	FAM003980	FAM008025	FAM004169	FAM008219	FAM004526	FAM013065	FAM001268	FAM001055	FAM000817	FAM002691	FAM006260	FAM013259	FAM008758	FAM007132	FAM001523	FAM001442	FAM007186	FAM004727	FAM002647	FAM010663	FAM004796	FAM013165	FAM006923	FAM007559	FAM000255	FAM007130	FAM012308	FAM007319	FAM003769	FAM002124	FAM000364	FAM002898	FAM003040	FAM001480	FAM001789	FAM002794	FAM002607	FAM008670	FAM001426	FAM009777	FAM010913	FAM009716	FAM108954	FAM064889	FAM033751	FAM038093	FAM022667
rep022_seed2047	FAM011328	FAM008395	FAM008917	FAM003644	FAM014611	FAM004594	FAM005363	FAM006593	FAM013477	FAM001480	FAM002418	FAM006090	FAM002933	FAM004085	FAM009083	FAM000556	FAM013383	FAM009228	FAM003503	FAM000818	FAM001706	FAM001495	FAM002501	FAM001586	FAM007473	FAM005715	FAM000831	FAM006652	FAM004657	FAM010375	FAM013575	FAM003562	FAM003847	FAM004261	FAM000105	FAM006406	FAM003812	FAM000724	FAM002132	FAM000956	FAM011672	FAM002635	FAM002156	FAM013120	FAM004589	FAM009770	FAM000745	FAM002570	FAM004278	FAM009724	FAM006929	FAM001878	FAM013967	FAM005828	FAM004794	FAM000754	FAM004873	FAM001365	FAM005421	FAM002577	FAM003693	FAM003462	FAM001945	FAM004409	FAM004077	FAM008868	FAM014303	FAM008462	FAM128920	FAM060549	FAM041598	FAM040643	FAM016178
rep023_seed2048	FAM004838	FAM001055	FAM011434	FAM001662	FAM000894	FAM003484	FAM001077	FAM000553	FAM007673	FAM005772	FAM003843	FAM001577	FAM001372	FAM000210	FAM000287	FAM000864	FAM006251	FAM003418	FAM001947	FAM006790	FAM008535	FAM000932	FAM007189	FAM000185	FAM012856	FAM005009	FAM003248	FAM001444	FAM003990	FAM010150	FAM009272	FAM002414	FAM000160	FAM012521	FAM006731	FAM002486	FAM013121	FAM001003	FAM004317	FAM000908	FAM004876	FAM008689	FAM000175	FAM000667	FAM003468	FAM000561	FAM007148	FAM006522	FAM004991	FAM002022	FAM001570	FAM002365	FAM007405	FAM003245	FAM000293	FAM012014	FAM007417	FAM001841	FAM004654	FAM004556	FAM012567	FAM009865	FAM000918	FAM003004	FAM009362	FAM007997	FAM013657	FAM011259	FAM117326	FAM058594	FAM042929	FAM033441	FAM028934
rep024_seed2049	FAM005260	FAM000735	FAM006315	FAM012252	FAM003982	FAM008062	FAM009956	FAM006192	FAM000111	FAM000129	FAM014439	FAM002236	FAM011087	FAM003352	FAM006217	FAM009031	FAM009198	FAM012540	FAM009609	FAM001750	FAM008696	FAM001180	FAM004592	FAM005998	FAM004071	FAM001907	FAM007259	FAM008217	FAM014524	FAM006850	FAM006626	FAM003886	FAM007545	FAM005981	FAM005459	FAM008305	FAM003882	FAM001642	FAM006882	FAM009815	FAM008617	FAM009925	FAM000562	FAM013113	FAM006515	FAM000408	FAM005940	FAM006272	FAM005471	FAM009597	FAM008011	FAM009461	FAM001710	FAM002533	FAM001348	FAM005660	FAM000459	FAM010746	FAM009448	FAM009493	FAM000645	FAM004267	FAM003538	FAM001163	FAM005936	FAM009220	FAM008835	FAM006689	FAM112081	FAM065125	FAM029805	FAM042437	FAM016676
rep025_seed2050	FAM013963	FAM009952	FAM003013	FAM002870	FAM004726	FAM005776	FAM000444	FAM005819	FAM005010	FAM006915	FAM008772	FAM007610	FAM005363	FAM001734	FAM009941	FAM013608	FAM002576	FAM013136	FAM001552	FAM000720	FAM000369	FAM005020	FAM002668	FAM003611	FAM006442	FAM001904	FAM005822	FAM004317	FAM005706	FAM009443	FAM006199	FAM002731	FAM003872	FAM004903	FAM012876	FAM003760	FAM011941	FAM007054	FAM001081	FAM013849	FAM000487	FAM010526	FAM006459	FAM006767	FAM001590	FAM000875	FAM000877	FAM000805	FAM011395	FAM008350	FAM004443	FAM007733	FAM003006	FAM006192	FAM005237	FAM004036	FAM002227	FAM006811	FAM001292	FAM005666	FAM003759	FAM004377	FAM005311	FAM004277	FAM005477	FAM005620	FAM010108	FAM007172	FAM113197	FAM067342	FAM031638	FAM031794	FAM021946
rep026_seed2051	FAM007447	FAM006846	FAM003942	FAM010099	FAM011281	FAM009305	FAM003788	FAM011500	FAM008804	FAM002432	FAM006182	FAM003491	FAM009632	FAM001980	FAM003084	FAM002138	FAM012162	FAM007735	FAM000311	FAM001132	FAM010731	FAM001802	FAM002366	FAM009039	FAM000987	FAM005543	FAM001827	FAM011137	FAM001933	FAM010168	FAM003868	FAM000086	FAM001847	FAM001139	FAM003668	FAM001668	FAM000211	FAM013113	FAM000435	FAM005850	FAM004891	FAM005189	FAM005723	FAM003910	FAM004999	FAM004581	FAM001976	FAM001089	FAM009286	FAM001656	FAM003033	FAM004989	FAM003320	FAM001345	FAM001109	FAM007246	FAM001475	FAM013785	FAM011437	FAM005166	FAM004642	FAM003659	FAM004400	FAM005979	FAM003026	FAM011310	FAM011399	FAM009173	FAM120702	FAM059909	FAM035954	FAM041276	FAM025066
rep027_seed2052	FAM007028	FAM003632	FAM003362	FAM009781	FAM003892	FAM005086	FAM005756	FAM011668	FAM002933	FAM009515	FAM006157	FAM002902	FAM011143	FAM009959	FAM004123	FAM010664	FAM003239	FAM007186	FAM004131	FAM014097	FAM006347	FAM007392	FAM000641	FAM002806	FAM001115	FAM009043	FAM004926	FAM003677	FAM005095	FAM001783	FAM007374	FAM001595	FAM005823	FAM009388	FAM004675	FAM000288	FAM000830	FAM006227	FAM000313	FAM000562	FAM001802	FAM003230	FAM003554	FAM005614	FAM001083	FAM004142	FAM001575	FAM014126	FAM003441	FAM012014	FAM003388	FAM010516	FAM004080	FAM008937	FAM008562	FAM012261	FAM014353	FAM012771	FAM003150	FAM001669	FAM001613	FAM007311	FAM010771	FAM004106	FAM007469	FAM006748	FAM011930	FAM007585	FAM142423	FAM068124	FAM042465	FAM032508	FAM017533
rep028_seed2053	FAM002557	FAM006523	FAM007043	FAM007110	FAM008335	FAM005107	FAM004902	FAM002974	FAM001000	FAM012198	FAM002238	FAM005612	FAM001134	FAM007158	FAM005032	FAM000742	FAM001166	FAM001096	FAM000291	FAM003221	FAM000458	FAM012876	FAM005208	FAM008308	FAM007310	FAM002830	FAM007744	FAM000320	FAM001315	FAM003588	FAM003551	FAM005223	FAM012363	FAM005527	FAM004210	FAM003805	FAM002380	FAM005447	FAM003091	FAM006399	FAM005888	FAM014535	FAM002738	FAM003834	FAM002879	FAM009376	FAM001996	FAM004117	FAM003383	FAM002763	FAM000527	FAM002344	FAM002531	FAM004743	FAM005071	FAM004236	FAM006453	FAM007358	FAM007162	FAM005394	FAM006348	FAM009667	FAM005397	FAM007908	FAM004623	FAM013661	FAM008077	FAM011006	FAM111468	FAM065173	FAM042215	FAM029323	FAM025162
rep029_seed2054	FAM000958	FAM012151	FAM004862	FAM005116	FAM006954	FAM007681	FAM003087	FAM002802	FAM006662	FAM005390	FAM003190	FAM000380	FAM011200	FAM001601	FAM004106	FAM006314	FAM006297	FAM001388	FAM005333	FAM005983	FAM008017	FAM010205	FAM008943	FAM004017	FAM001978	FAM012275	FAM005771	FAM007721	FAM004659	FAM005061	FAM008477	FAM003316	FAM003360	FAM008794	FAM002857	FAM011092	FAM009301	FAM002572	FAM000043	FAM004388	FAM003331	FAM005909	FAM005774	FAM003300	FAM004702	FAM000164	FAM005666	FAM000579	FAM012966	FAM007955	FAM002689	FAM003734	FAM000616	FAM011123	FAM003576	FAM004741	FAM013751	FAM000019	FAM005424	FAM009673	FAM002232	FAM001122	FAM008132	FAM006245	FAM000676	FAM011450	FAM009337	FAM011719	FAM108332	FAM057661	FAM041637	FAM034619	FAM021253
